State,District,Mean_NDVI
UTTARAKHAND,"Almora
",0.61
UTTARAKHAND,Bageshwar,0.49
UTTARAKHAND,Champawat,0.27
UTTARAKHAND,Dehradun,0.66
UTTARAKHAND,Hardwar,0.59
UTTARAKHAND,Nainital,0.65
UTTARAKHAND,Garhwal,0.56
UTTARAKHAND,Rudraprayag,0.67
UTTARAKHAND,Tehri Garhwal,0.27
UTTARAKHAND,Udham Singh Nagar,0.5
UTTARAKHAND,Chamoli,0.58
UTTARAKHAND,Pithoragarh,0.63
UTTARAKHAND,Uttarkashi,0.27
WEST BENGAL,Alipurduar,0.52
WEST BENGAL,Bankura,0.4
WEST BENGAL,Purba Bardhaman,0.37
WEST BENGAL,Birbhum,0.52
WEST BENGAL,Dakshin Dinajpur,0.54
WEST BENGAL,Darjiling,0.49
WEST BENGAL,Purba Medinipur,0.51
WEST BENGAL,Howrah,0.43
WEST BENGAL,Hooghly,0.51
WEST BENGAL,Jalpaiguri,0.39
WEST BENGAL,Cooch Behar,0.5
WEST BENGAL,Kolkata,0.22
WEST BENGAL,Maldah,0.54
WEST BENGAL,Murshidabad,0.43
WEST BENGAL,Nadia,0.5
WEST BENGAL,North Twenty Four Pargan*,0.54
WEST BENGAL,Medinipur West,0.43
WEST BENGAL,Puruliya,0.33
WEST BENGAL,South Twenty Four Pargana,0.36
WEST BENGAL,Uttar Dinajpur,0.38
WEST BENGAL,Jhargram,0.36
WEST BENGAL,Paschim Bardhaman,0.45
WEST BENGAL,Kalimpong,0.52
